2026-03-09T18:15:37 START listen=127.0.0.1:19080 upstream=208.214.160.156:50101 user=egorkaray
2026-03-09T18:16:13 CONNECT_OK peer=('127.0.0.1', 58000) target=8.47.69.6:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58035) target=accounts.google.com:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58076) target=www.perplexity.ai:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58090) target=www.perplexity.ai:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58055) target=www.perplexity.ai:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58033) target=www.perplexity.ai:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58046) target=www.perplexity.ai:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58047) target=www.perplexity.ai:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58027) target=www.gstatic.com:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58037) target=ipinfo.io:443
2026-03-09T18:16:19 CONNECT_OK peer=('127.0.0.1', 58065) target=fscdn.eppo.cloud:443
2026-03-09T18:16:20 CONNECT_OK peer=('127.0.0.1', 58036) target=comet-test-fr.s3.eu-central-1.amazonaws.com:443
2026-03-09T18:16:21 CONNECT_OK peer=('127.0.0.1', 58112) target=www.perplexity.ai:443
2026-03-09T18:16:21 CONNECT_OK peer=('127.0.0.1', 58107) target=fscdn.eppo.cloud:443
2026-03-09T18:16:21 CONNECT_OK peer=('127.0.0.1', 58111) target=www.perplexity.ai:443
2026-03-09T18:16:21 UP_CONNECT_FAIL peer=('127.0.0.1', 58102) target=mtalk.google.com:5228 rep=2
2026-03-09T18:16:21 CONNECT_OK peer=('127.0.0.1', 58104) target=android.clients.google.com:443
2026-03-09T18:16:21 CONNECT_OK peer=('127.0.0.1', 58117) target=android.clients.google.com:443
2026-03-09T18:16:21 CONNECT_OK peer=('127.0.0.1', 58136) target=ipinfo.io:443
2026-03-09T18:16:21 CONNECT_OK peer=('127.0.0.1', 58113) target=www.perplexity.ai:443
2026-03-09T18:16:21 CONNECT_OK peer=('127.0.0.1', 58101) target=update.googleapis.com:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58141) target=www.perplexity.ai:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58108) target=www.gstatic.com:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58109) target=www.perplexity.ai:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58143) target=android.clients.google.com:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58116) target=accounts.google.com:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58133) target=fscdn.eppo.cloud:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58119) target=update.googleapis.com:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58115) target=www.perplexity.ai:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58110) target=ipinfo.io:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58145) target=update.googleapis.com:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58144) target=comet-test-fr.s3.eu-central-1.amazonaws.com:443
2026-03-09T18:16:22 CONNECT_OK peer=('127.0.0.1', 58118) target=comet-test-fr.s3.eu-central-1.amazonaws.com:443
