2026-03-14T21:23:42 START listen=127.0.0.1:19080 upstream=208.214.160.156:50101 user=egorkaray
2026-03-14T21:23:45 CONNECT_OK peer=('127.0.0.1', 61146) target=104.26.13.205:443
2026-03-14T21:23:47 CONNECT_OK peer=('127.0.0.1', 61167) target=104.26.13.205:443
2026-03-14T21:23:50 CONNECT_OK peer=('127.0.0.1', 61173) target=142.251.41.174:443
2026-03-14T21:23:55 CONNECT_OK peer=('127.0.0.1', 61193) target=142.251.211.174:443
2026-03-14T21:24:00 CONNECT_OK peer=('127.0.0.1', 61199) target=172.64.154.211:443
2026-03-14T21:24:03 CONNECT_OK peer=('127.0.0.1', 61205) target=8.8.8.8:443
2026-03-14T21:24:33 CONNECT_OK peer=('127.0.0.1', 61233) target=149.154.167.51:80
2026-03-14T21:24:33 CONNECT_OK peer=('127.0.0.1', 61232) target=149.154.167.41:443
2026-03-14T21:24:33 CONNECT_OK peer=('127.0.0.1', 61234) target=149.154.167.41:80
2026-03-14T21:24:33 CONNECT_OK peer=('127.0.0.1', 61231) target=149.154.167.51:443
2026-03-14T21:24:34 CONNECT_OK peer=('127.0.0.1', 57545) target=149.154.167.41:443
2026-03-14T21:24:34 CONNECT_OK peer=('127.0.0.1', 57547) target=149.154.167.41:80
2026-03-14T21:24:34 CONNECT_OK peer=('127.0.0.1', 57546) target=149.154.167.51:80
2026-03-14T21:24:34 CONNECT_OK peer=('127.0.0.1', 57544) target=149.154.167.51:443
2026-03-14T21:26:00 CONNECT_OK peer=('127.0.0.1', 60132) target=www.amd.com:80
2026-03-14T21:27:15 CONNECT_OK peer=('127.0.0.1', 60319) target=104.26.13.205:443
2026-03-14T21:27:18 CONNECT_OK peer=('127.0.0.1', 60325) target=142.251.210.46:443
2026-03-14T21:27:22 CONNECT_OK peer=('127.0.0.1', 60332) target=142.251.211.174:443
2026-03-14T21:27:27 CONNECT_OK peer=('127.0.0.1', 60353) target=104.18.33.45:443
2026-03-14T21:27:29 CONNECT_OK peer=('127.0.0.1', 60370) target=8.8.4.4:443
2026-03-14T21:27:43 CONNECT_OK peer=('127.0.0.1', 60416) target=www.gstatic.com:443
2026-03-14T21:27:44 CONNECT_OK peer=('127.0.0.1', 60422) target=www.perplexity.ai:443
