2026-03-15T11:04:22 START listen=127.0.0.1:19080 upstream=208.214.160.156:50101 user=egorkaray
2026-03-15T11:06:39 HANDLE_ERROR peer=('127.0.0.1', 59959) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:06:41 CONNECT_OK peer=('127.0.0.1', 59984) target=149.154.167.91:80
2026-03-15T11:06:43 CONNECT_OK peer=('127.0.0.1', 59981) target=149.154.167.41:80
2026-03-15T11:06:43 CONNECT_OK peer=('127.0.0.1', 59982) target=149.154.167.91:443
2026-03-15T11:06:43 CONNECT_OK peer=('127.0.0.1', 59983) target=149.154.167.51:80
2026-03-15T11:06:45 HANDLE_ERROR peer=('127.0.0.1', 49800) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:06:45 HANDLE_ERROR peer=('127.0.0.1', 49801) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:06:45 HANDLE_ERROR peer=('127.0.0.1', 49806) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:06:45 HANDLE_ERROR peer=('127.0.0.1', 49807) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:06:45 HANDLE_ERROR peer=('127.0.0.1', 49810) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:06:45 HANDLE_ERROR peer=('127.0.0.1', 49811) err=ConnectionResetError:[WinError 64] Указанное сетевое имя более недоступно
2026-03-15T11:06:45 CONNECT_OK peer=('127.0.0.1', 58779) target=5.28.195.2:443
2026-03-15T11:06:46 CONNECT_OK peer=('127.0.0.1', 58778) target=5.28.195.4:443
2026-03-15T11:06:47 CONNECT_OK peer=('127.0.0.1', 49822) target=149.154.167.91:443
2026-03-15T11:06:47 CONNECT_OK peer=('127.0.0.1', 49817) target=5.28.195.2:443
2026-03-15T11:06:47 CONNECT_OK peer=('127.0.0.1', 49823) target=149.154.167.91:80
2026-03-15T11:06:47 CONNECT_OK peer=('127.0.0.1', 49814) target=149.154.167.91:80
2026-03-15T11:06:48 CONNECT_OK peer=('127.0.0.1', 52491) target=149.154.167.51:80
2026-03-15T11:06:48 CONNECT_OK peer=('127.0.0.1', 50820) target=91.108.56.156:443
2026-03-15T11:06:49 CONNECT_OK peer=('127.0.0.1', 49815) target=5.28.195.4:443
2026-03-15T11:06:50 CONNECT_OK peer=('127.0.0.1', 50821) target=91.108.56.156:80
2026-03-15T11:06:52 CONNECT_OK peer=('127.0.0.1', 50862) target=91.108.56.156:80
2026-03-15T11:06:52 CONNECT_OK peer=('127.0.0.1', 50872) target=149.154.167.41:80
2026-03-15T11:06:53 CONNECT_OK peer=('127.0.0.1', 50869) target=149.154.167.51:443
2026-03-15T11:06:53 CONNECT_OK peer=('127.0.0.1', 50870) target=149.154.167.41:443
2026-03-15T11:06:53 CONNECT_OK peer=('127.0.0.1', 50882) target=5.28.195.2:443
2026-03-15T11:06:53 CONNECT_OK peer=('127.0.0.1', 50891) target=149.154.167.41:443
2026-03-15T11:06:53 CONNECT_OK peer=('127.0.0.1', 50871) target=149.154.167.51:80
2026-03-15T11:06:54 CONNECT_OK peer=('127.0.0.1', 50892) target=149.154.167.51:80
2026-03-15T11:06:54 CONNECT_OK peer=('127.0.0.1', 50861) target=91.108.56.156:443
2026-03-15T11:06:55 CONNECT_OK peer=('127.0.0.1', 50893) target=149.154.167.41:80
2026-03-15T11:06:55 CONNECT_OK peer=('127.0.0.1', 50890) target=149.154.167.51:443
2026-03-15T11:06:56 CONNECT_OK peer=('127.0.0.1', 50915) target=149.154.167.51:443
2026-03-15T11:06:56 CONNECT_OK peer=('127.0.0.1', 50920) target=149.154.167.41:80
2026-03-15T11:06:57 CONNECT_OK peer=('127.0.0.1', 50917) target=149.154.167.51:80
2026-03-15T11:06:57 CONNECT_OK peer=('127.0.0.1', 50957) target=149.154.175.60:80
2026-03-15T11:06:58 CONNECT_OK peer=('127.0.0.1', 50940) target=149.154.175.60:80
2026-03-15T11:06:58 CONNECT_OK peer=('127.0.0.1', 50939) target=149.154.175.54:443
2026-03-15T11:06:58 CONNECT_OK peer=('127.0.0.1', 50938) target=149.154.175.60:443
2026-03-15T11:06:59 CONNECT_OK peer=('127.0.0.1', 50988) target=5.28.195.4:443
2026-03-15T11:06:59 CONNECT_OK peer=('127.0.0.1', 50995) target=149.154.175.60:80
2026-03-15T11:06:59 CONNECT_OK peer=('127.0.0.1', 50958) target=149.154.175.54:80
2026-03-15T11:06:59 CONNECT_OK peer=('127.0.0.1', 50973) target=5.28.195.2:443
2026-03-15T11:07:00 CONNECT_OK peer=('127.0.0.1', 50956) target=149.154.175.54:443
2026-03-15T11:07:00 CONNECT_OK peer=('127.0.0.1', 50972) target=5.28.195.4:443
2026-03-15T11:07:01 CONNECT_OK peer=('127.0.0.1', 50989) target=5.28.195.2:443
2026-03-15T11:07:01 CONNECT_OK peer=('127.0.0.1', 50994) target=149.154.175.54:443
2026-03-15T11:07:02 CONNECT_OK peer=('127.0.0.1', 50996) target=149.154.175.54:80
2026-03-15T11:07:07 CONNECT_OK peer=('127.0.0.1', 51044) target=149.154.167.51:80
2026-03-15T11:07:07 CONNECT_OK peer=('127.0.0.1', 51053) target=149.154.167.51:80
2026-03-15T11:07:07 CONNECT_OK peer=('127.0.0.1', 51043) target=149.154.167.41:80
2026-03-15T11:07:08 CONNECT_OK peer=('127.0.0.1', 51052) target=149.154.167.41:443
